volcano,camera code,camera name,start date/time,end date/time,framerate,resolution,notes
whiteisland,WICF,whiteislandfactory,2012-08-04T16:54:00Z,2012-08-04T16:58:00Z,1FPS,VGA 640x480,
ruapehu,MTSR,mangateitei,2012-08-06T11:52:00Z,2012-08-06T11:54:00Z,1FPS,VGA 640x480,
ruapehu,MTSR,mangateitei,2012-08-06T11:54:00Z,2012-08-06T12:00:00Z,1FPS,VGA 640x480,
ruapehu,MTSR,mangateitei,2012-08-06T12:00:00Z,2012-08-06T12:05:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2012-08-19T22:00:00Z,2012-08-19T22:21:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2012-08-19T22:20:00Z,2012-08-19T22:46:00Z,1FPS,VGA 640x480,
tongariro,KAKA,kakaramea,2012-11-21T00:20:00Z,2012-11-21T00:39:00Z,1FPS,VGA 640x480,
tongariro,TOKR,karewarewa,2012-11-21T00:20:00Z,2012-11-21T00:41:00Z,1FPS,VGA 640x480,
tongariro,TOKR,karewarewa,2012-11-24T07:25:00Z,2012-11-24T07:26:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2013-02-22T22:29:00Z,2013-02-22T22:31:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2013-02-23T00:27:00Z,2013-02-23T00:29:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2013-02-23T00:29:00Z,2013-02-23T00:30:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2013-02-23T01:30:00Z,2013-02-23T01:31:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2013-02-23T01:32:00Z,2013-02-23T01:33:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2013-02-23T01:33:00Z,2013-02-23T01:34:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2013-02-23T01:34:00Z,2013-02-23T01:35:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2013-02-23T01:35:00Z,2013-02-23T01:36:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2013-02-23T01:40:00Z,2013-02-23T01:41:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2013-02-23T01:50:00Z,2013-02-23T01:51:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2013-02-23T01:51:00Z,2013-02-23T01:53:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2013-02-23T01:53:00Z,2013-02-23T01:55:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2013-02-23T01:55:00Z,2013-02-23T01:56:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2013-02-23T01:56:00Z,2013-02-23T01:57:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2013-02-23T01:57:00Z,2013-02-23T01:58:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2013-02-23T01:59:00Z,2013-02-23T02:00:00Z,1FPS,VGA 640x480,
whiteisland,WINR,whiteislandnorthrim,2013-04-24T03:32:00Z,2013-04-24T03:35:00Z,1FPS,VGA 640x480,
whiteisland,WINR,whiteislandnorthrim,2013-07-25T19:20:00Z,2013-07-25T19:26:00Z,1FPS,VGA 640x480,
whiteisland,WINR,whiteislandnorthrim,2013-08-18T16:00:00Z,2013-08-18T16:11:00Z,1FPS,VGA 640x480,
whiteisland,WINR,whiteislandnorthrim,2013-08-19T22:00:00Z,2013-08-19T22:21:00Z,1FPS,VGA 640x480,
whiteisland,WHOH,whakatanehub,2013-08-19T22:20:00Z,2013-08-19T22:36:00Z,1FPS,VGA 640x480,
whiteisland,WINR,whiteislandnorthrim,2013-08-19T22:20:00Z,2013-08-19T22:36:00Z,1FPS,VGA 640x480,
whiteisland,WHOH,whakatanehub,2013-08-19T22:35:00Z,2013-08-19T22:46:00Z,1FPS,VGA 640x480,
whiteisland,WINR,whiteislandnorthrim,2013-08-19T22:35:00Z,2013-08-19T22:41:00Z,1FPS,VGA 640x480,
